##########################################################################################################################

################################################### For binary BoW #######################################################

Optimizing for label: toxic
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
| 2         | 0.9163    | 1.568     | 0.7174    | 4.465     | 2.202     | 1.0       |
| 3         | 0.9454    | 0.2156    | 0.991     | 4.33      | 1.425     | 1.0       |
| 4         | 0.8803    | 1.842     | 0.7913    | 3.099     | 1.864     | 1.0       |
| 5         | 0.8131    | 6.122     | 0.7418    | 2.169     | 1.733     | 1.0       |
| 6         | 0.8244    | 7.854     | 0.7599    | 3.057     | 2.185     | 1.0       |
| 7         | 0.839     | 6.079     | 0.7512    | 1.26      | 2.898     | 1.0       |
| 8         | 0.8231    | 8.086     | 0.7914    | 1.391     | 2.368     | 1.0       |
| 9         | 0.9267    | 1.229     | 0.8486    | 1.138     | 2.819     | 1.0       |
| 10        | 0.8337    | 6.629     | 0.7935    | 3.08      | 2.093     | 1.0       |
| 11        | 0.9242    | 0.01998   | 0.9413    | 4.557     | 2.939     | 1.0       |
| 12        | 0.9116    | 0.01      | 1.0       | 1.0       | 1.0       | 1.0       |
| 13        | 0.9118    | 0.01      | 0.7       | 5.0       | 1.0       | 1.0       |
| 14        | 0.919     | 0.01341   | 0.9156    | 2.677     | 2.653     | 1.0       |
| 15        | 0.9394    | 0.06472   | 0.726     | 3.279     | 1.131     | 1.0       |
| 16        | 0.7946    | 10.0      | 1.0       | 5.0       | 1.0       | 1.0       |
| 17        | 0.9224    | 0.01733   | 0.942     | 1.112     | 2.756     | 1.0       |
| 18        | 0.9114    | 0.01      | 1.0       | 3.805     | 1.858     | 1.0       |
| 19        | 0.9023    | 1.225     | 1.0       | 4.469     | 1.0       | 1.0       |
| 20        | 0.8752    | 2.013     | 0.7       | 1.0       | 1.0       | 1.0       |
| 21        | 0.8817    | 2.988     | 1.0       | 1.0       | 3.0       | 1.0       |
| 22        | 0.9338    | 1.064     | 0.7       | 5.0       | 3.0       | 1.0       |
| 23        | 0.9114    | 0.01      | 0.7       | 2.221     | 1.0       | 1.0       |
| 24        | 0.9464    | 0.5479    | 1.0       | 5.0       | 2.103     | 1.0       |
| 25        | 0.8437    | 5.637     | 0.7       | 5.0       | 3.0       | 1.0       |
| 26        | 0.9358    | 0.9984    | 0.7       | 2.265     | 3.0       | 1.0       |
| 27        | 0.8938    | 2.465     | 1.0       | 5.0       | 3.0       | 1.0       |
| 28        | 0.9353    | 1.011     | 0.7       | 3.701     | 3.0       | 1.0       |
| 29        | 0.7903    | 10.0      | 1.0       | 1.0       | 1.0       | 1.0       |
| 30        | 0.9409    | 0.3673    | 0.7       | 3.919     | 1.0       | 1.0       |
| 31        | 0.9114    | 0.01      | 1.0       | 3.878     | 1.0       | 1.0       |
| 32        | 0.9334    | 0.5477    | 0.7       | 4.465     | 1.827     | 1.0       |
| 33        | 0.9228    | 0.7868    | 0.7       | 3.05      | 1.0       | 1.0       |
| 34        | 0.8309    | 4.81      | 1.0       | 5.0       | 1.0       | 1.0       |
| 35        | 0.9458    | 0.5689    | 0.7605    | 1.751     | 2.18      | 1.0       |
| 36        | 0.9255    | 0.7216    | 0.985     | 1.031     | 1.774     | 1.0       |
| 37        | 0.9067    | 1.974     | 1.0       | 3.496     | 3.0       | 1.0       |
| 38        | 0.9331    | 0.5565    | 0.7       | 2.675     | 1.958     | 1.0       |
| 39        | 0.9307    | 0.03466   | 0.933     | 4.905     | 1.919     | 1.0       |
| 40        | 0.936     | 0.9915    | 1.0       | 4.417     | 3.0       | 1.0       |
| 41        | 0.9483    | 0.4517    | 0.714     | 1.765     | 2.948     | 1.0       |
| 42        | 0.9428    | 0.6846    | 1.0       | 1.829     | 2.681     | 1.0       |
| 43        | 0.9336    | 0.6188    | 1.0       | 5.0       | 1.49      | 1.0       |
| 44        | 0.9152    | 0.01      | 0.7       | 1.836     | 2.265     | 1.0       |
| 45        | 0.8334    | 4.171     | 1.0       | 1.0       | 1.0       | 1.0       |
| 46        | 0.9079    | 1.094     | 0.7197    | 1.783     | 1.841     | 1.0       |
| 47        | 0.8222    | 8.29      | 1.0       | 5.0       | 3.0       | 1.0       |
| 48        | 0.9428    | 0.6856    | 0.7182    | 1.014     | 2.545     | 1.0       |
| 49        | 0.9449    | 0.6893    | 1.0       | 3.064     | 3.0       | 1.0       |
| 50        | 0.9502    | 0.4778    | 1.0       | 5.0       | 3.0       | 1.0       |
| 51        | 0.9255    | 0.7269    | 1.0       | 3.855     | 1.56      | 1.0       |
| 52        | 0.9499    | 0.4905    | 0.7       | 2.802     | 3.0       | 1.0       |
| 53        | 0.9341    | 0.9945    | 1.0       | 5.0       | 2.545     | 1.0       |
| 54        | 0.9454    | 0.5884    | 0.7       | 2.234     | 2.619     | 1.0       |
| 55        | 0.9428    | 0.6852    | 0.709     | 1.454     | 2.92      | 1.0       |
| 56        | 0.9501    | 0.4797    | 1.0       | 2.361     | 3.0       | 1.0       |
| 57        | 0.9514    | 0.3935    | 0.7       | 2.289     | 3.0       | 1.0       |
| 58        | 0.9458    | 0.6542    | 1.0       | 1.0       | 3.0       | 1.0       |
| 59        | 0.9486    | 0.1697    | 0.7165    | 4.968     | 2.915     | 1.0       |
| 60        | 0.9454    | 0.5873    | 0.7114    | 4.874     | 2.939     | 1.0       |
=====================================================================================
Best parameters for label identity_hate: {'alpha': 0.3935245328516555, 'max_df': 0.7, 'min_df': 2, 'ngram_range': (1, 3)}

##########################################################################################################################




##########################################################################################################################

################################################# For normal BoW #########################################################

Optimizing for label: toxic
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
-------------------------------------------------------------------------------------
| 1         | 0.9204    | 3.752     | 0.9852    | 3.928     | 2.197     | 1.0       |
| 2         | 0.9256    | 1.568     | 0.7174    | 4.465     | 2.202     | 1.0       |
| 3         | 0.9245    | 0.2156    | 0.991     | 4.33      | 1.425     | 1.0       |
| 4         | 0.9239    | 1.842     | 0.7913    | 3.099     | 1.864     | 1.0       |
| 5         | 0.9013    | 6.122     | 0.7418    | 2.169     | 1.733     | 1.0       |
| 6         | 0.9084    | 7.854     | 0.7599    | 3.057     | 2.185     | 1.0       |
| 7         | 0.9028    | 6.079     | 0.7512    | 1.26      | 2.898     | 1.0       |
| 8         | 0.8971    | 8.086     | 0.7914    | 1.391     | 2.368     | 1.0       |
| 9         | 0.9115    | 1.229     | 0.8486    | 1.138     | 2.819     | 1.0       |
| 10        | 0.9123    | 6.629     | 0.7935    | 3.08      | 2.093     | 1.0       |
| 11        | 0.9186    | 6.128     | 0.7       | 5.0       | 3.0       | 1.0       |
| 12        | 0.9235    | 2.295     | 1.0       | 5.0       | 1.0       | 1.0       |
| 13        | 0.9141    | 0.01      | 1.0       | 5.0       | 3.0       | 1.0       |
| 14        | 0.9103    | 0.01      | 0.7       | 2.573     | 1.0       | 1.0       |
| 15        | 0.9056    | 5.996     | 1.0       | 5.0       | 1.0       | 1.0       |
| 16        | 0.9276    | 0.915     | 0.7       | 5.0       | 1.0       | 1.0       |
| 17        | 0.9061    | 10.0      | 1.0       | 5.0       | 3.0       | 1.0       |
| 18        | 0.9257    | 1.47      | 1.0       | 4.047     | 1.0       | 1.0       |
| 19        | 0.9212    | 2.499     | 1.0       | 3.574     | 3.0       | 1.0       |
| 20        | 0.9261    | 3.329     | 0.7       | 5.0       | 3.0       | 1.0       |
| 21        | 0.9234    | 4.44      | 0.7       | 5.0       | 3.0       | 1.0       |
| 22        | 0.9265    | 1.158     | 0.9929    | 4.979     | 1.602     | 1.0       |
| 23        | 0.9264    | 2.54      | 1.0       | 5.0       | 2.343     | 1.0       |
| 24        | 0.926     | 0.3482    | 0.9262    | 4.991     | 1.07      | 1.0       |
| 25        | 0.9221    | 2.305     | 0.7       | 4.255     | 1.72      | 1.0       |
| 26        | 0.9282    | 2.062     | 1.0       | 5.0       | 3.0       | 1.0       |
| 27        | 0.9179    | 2.731     | 1.0       | 1.0       | 1.0       | 1.0       |
| 28        | 0.9203    | 2.528     | 1.0       | 2.7       | 1.0       | 1.0       |
| 29        | 0.9157    | 4.975     | 0.7       | 3.704     | 3.0       | 1.0       |
| 30        | 0.9243    | 2.819     | 0.9974    | 4.999     | 2.964     | 1.0       |
| 31        | 0.9285    | 1.566     | 0.7       | 5.0       | 3.0       | 1.0       |
| 32        | 0.9172    | 3.667     | 0.7       | 5.0       | 1.895     | 1.0       |
| 33        | 0.9271    | 1.998     | 0.7       | 5.0       | 2.549     | 1.0       |
| 34        | 0.9231    | 0.9751    | 0.9159    | 3.529     | 2.979     | 1.0       |
| 35        | 0.9255    | 1.528     | 1.0       | 4.512     | 3.0       | 1.0       |
| 36        | 0.8947    | 3.414     | 1.0       | 1.0       | 3.0       | 1.0       |
| 37        | 0.8878    | 10.0      | 0.7       | 5.0       | 1.0       | 1.0       |
| 38        | 0.9242    | 1.256     | 1.0       | 1.0       | 1.0       | 1.0       |
| 39        | 0.9227    | 1.684     | 0.7       | 1.857     | 1.0       | 1.0       |
| 40        | 0.9272    | 0.7308    | 0.7       | 4.295     | 1.0       | 1.0       |
| 41        | 0.9265    | 1.034     | 1.0       | 3.683     | 1.821     | 1.0       |
| 42        | 0.9137    | 7.665     | 0.7       | 5.0       | 3.0       | 1.0       |
| 43        | 0.9273    | 1.541     | 1.0       | 5.0       | 2.625     | 1.0       |
| 44        | 0.927     | 0.9398    | 1.0       | 4.664     | 1.0       | 1.0       |
| 45        | 0.9272    | 0.8156    | 0.7125    | 4.376     | 1.74      | 1.0       |
| 46        | 0.9225    | 3.6       | 0.7       | 4.321     | 3.0       | 1.0       |
| 47        | 0.9249    | 1.937     | 1.0       | 5.0       | 1.85      | 1.0       |
| 48        | 0.9282    | 2.054     | 0.7       | 5.0       | 3.0       | 1.0       |
| 49        | 0.9234    | 1.196     | 0.7       | 3.64      | 2.22      | 1.0       |
| 50        | 0.9028    | 0.01      | 1.0       | 2.47      | 3.0       | 1.0       |
| 51        | 0.9258    | 1.328     | 0.9923    | 3.213     | 1.104     | 1.0       |
| 52        | 0.8826    | 10.0      | 1.0       | 1.0       | 1.0       | 1.0       |
| 53        | 0.9269    | 0.9862    | 1.0       | 4.165     | 1.437     | 1.0       |
| 54        | 0.9271    | 0.6088    | 0.7356    | 4.997     | 1.7       | 1.0       |
| 55        | 0.9248    | 1.531     | 1.0       | 2.355     | 1.698     | 1.0       |
| 56        | 0.9271    | 0.8468    | 0.7357    | 4.618     | 1.353     | 1.0       |
| 57        | 0.9251    | 1.019     | 0.7194    | 4.978     | 2.511     | 1.0       |
| 58        | 0.9252    | 1.052     | 0.9998    | 4.32      | 2.104     | 1.0       |
| 59        | 0.9285    | 1.686     | 1.0       | 5.0       | 3.0       | 1.0       |
| 60        | 0.9268    | 0.6307    | 0.9992    | 3.717     | 1.171     | 1.0       |
=====================================================================================
Best parameters for label toxic: {'alpha': 1.5661036084959452, 'max_df': 0.7, 'min_df': 5, 'ngram_range': (1, 3)}
Optimizing for label: severe_toxic
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
-------------------------------------------------------------------------------------
| 1         | 0.9413    | 3.752     | 0.9852    | 3.928     | 2.197     | 1.0       |
| 2         | 0.9502    | 1.568     | 0.7174    | 4.465     | 2.202     | 1.0       |
| 3         | 0.9523    | 0.2156    | 0.991     | 4.33      | 1.425     | 1.0       |
| 4         | 0.9433    | 1.842     | 0.7913    | 3.099     | 1.864     | 1.0       |
| 5         | 0.9136    | 6.122     | 0.7418    | 2.169     | 1.733     | 1.0       |
| 6         | 0.9262    | 7.854     | 0.7599    | 3.057     | 2.185     | 1.0       |
| 7         | 0.928     | 6.079     | 0.7512    | 1.26      | 2.898     | 1.0       |
| 8         | 0.9221    | 8.086     | 0.7914    | 1.391     | 2.368     | 1.0       |
| 9         | 0.9429    | 1.229     | 0.8486    | 1.138     | 2.819     | 1.0       |
| 10        | 0.9301    | 6.629     | 0.7935    | 3.08      | 2.093     | 1.0       |
| 11        | 0.9276    | 0.01097   | 0.9763    | 4.291     | 2.928     | 1.0       |
| 12        | 0.948     | 1.297     | 1.0       | 4.65      | 1.0       | 1.0       |
| 13        | 0.9525    | 0.2501    | 0.7       | 3.231     | 1.0       | 1.0       |
| 14        | 0.936     | 0.01484   | 0.8082    | 1.518     | 1.058     | 1.0       |
| 15        | 0.9392    | 2.736     | 0.7       | 5.0       | 1.671     | 1.0       |
| 16        | 0.9346    | 5.688     | 1.0       | 5.0       | 3.0       | 1.0       |
| 17        | 0.936     | 0.01      | 0.7       | 5.0       | 1.0       | 1.0       |
| 18        | 0.9507    | 0.8857    | 1.0       | 3.739     | 1.412     | 1.0       |
| 19        | 0.9355    | 0.01      | 0.7       | 3.373     | 1.725     | 1.0       |
| 20        | 0.9525    | 0.5481    | 0.7       | 3.991     | 1.0       | 1.0       |
| 21        | 0.9457    | 2.555     | 0.9995    | 3.95      | 2.985     | 1.0       |
| 22        | 0.9293    | 2.87      | 1.0       | 1.974     | 3.0       | 1.0       |
| 23        | 0.9491    | 1.074     | 1.0       | 2.741     | 1.0       | 1.0       |
| 24        | 0.9408    | 2.157     | 1.0       | 3.734     | 1.0       | 1.0       |
| 25        | 0.9001    | 10.0      | 1.0       | 5.0       | 1.0       | 1.0       |
| 26        | 0.9397    | 2.129     | 0.7       | 1.0       | 1.0       | 1.0       |
| 27        | 0.9487    | 2.058     | 0.7       | 5.0       | 3.0       | 1.0       |
| 28        | 0.9224    | 5.356     | 0.7       | 5.0       | 1.0       | 1.0       |
| 29        | 0.895     | 10.0      | 1.0       | 1.0       | 1.0       | 1.0       |
| 30        | 0.9426    | 3.653     | 0.7       | 5.0       | 3.0       | 1.0       |
| 31        | 0.9523    | 1.029     | 1.0       | 5.0       | 2.047     | 1.0       |
| 32        | 0.9275    | 7.633     | 0.7       | 5.0       | 3.0       | 1.0       |
| 33        | 0.9504    | 1.855     | 1.0       | 5.0       | 2.287     | 1.0       |
| 34        | 0.9078    | 0.01      | 1.0       | 1.0       | 3.0       | 1.0       |
| 35        | 0.9355    | 0.01      | 1.0       | 3.747     | 1.0       | 1.0       |
| 36        | 0.9517    | 0.7517    | 0.7       | 4.483     | 1.628     | 1.0       |
| 37        | 0.9274    | 3.868     | 0.7       | 1.0       | 1.0       | 1.0       |
| 38        | 0.9414    | 2.039     | 0.7       | 1.0       | 2.277     | 1.0       |
| 39        | 0.9357    | 4.728     | 0.7       | 3.522     | 3.0       | 1.0       |
| 40        | 0.9523    | 0.4757    | 0.7       | 2.53      | 1.0       | 1.0       |
| 41        | 0.95      | 0.9952    | 0.7       | 3.317     | 1.0       | 1.0       |
| 42        | 0.946     | 1.334     | 0.7595    | 1.855     | 1.726     | 1.0       |
| 43        | 0.9416    | 1.416     | 0.7       | 2.619     | 3.0       | 1.0       |
| 44        | 0.9503    | 1.541     | 0.9279    | 4.112     | 2.993     | 1.0       |
| 45        | 0.9511    | 1.14      | 0.7165    | 4.967     | 2.972     | 1.0       |
| 46        | 0.9309    | 3.459     | 0.7       | 2.981     | 1.0       | 1.0       |
| 47        | 0.919     | 10.0      | 0.7       | 3.158     | 3.0       | 1.0       |
| 48        | 0.9441    | 0.1442    | 0.9995    | 4.953     | 2.014     | 1.0       |
| 49        | 0.9479    | 1.073     | 0.982     | 1.052     | 1.084     | 1.0       |
| 50        | 0.9512    | 1.049     | 1.0       | 4.379     | 2.312     | 1.0       |
| 51        | 0.9504    | 1.511     | 1.0       | 5.0       | 3.0       | 1.0       |
| 52        | 0.9522    | 0.6645    | 1.0       | 4.497     | 1.304     | 1.0       |
| 53        | 0.9481    | 1.215     | 0.7957    | 2.017     | 1.019     | 1.0       |
| 54        | 0.9254    | 4.391     | 1.0       | 1.0       | 3.0       | 1.0       |
| 55        | 0.9117    | 7.301     | 1.0       | 5.0       | 1.0       | 1.0       |
| 56        | 0.9516    | 0.6641    | 0.7       | 2.965     | 1.312     | 1.0       |
| 57        | 0.9289    | 6.542     | 1.0       | 3.623     | 3.0       | 1.0       |
| 58        | 0.9475    | 1.362     | 0.9955    | 4.43      | 1.685     | 1.0       |
| 59        | 0.9527    | 0.5379    | 0.7       | 4.011     | 1.504     | 1.0       |
| 60        | 0.9507    | 1.358     | 0.7207    | 4.741     | 2.592     | 1.0       |
=====================================================================================
Best parameters for label severe_toxic: {'alpha': 0.537899295687526, 'max_df': 0.7, 'min_df': 4, 'ngram_range': (1, 1)}
Optimizing for label: obscene
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
-------------------------------------------------------------------------------------
| 1         | 0.9325    | 3.752     | 0.9852    | 3.928     | 2.197     | 1.0       |
| 2         | 0.9408    | 1.568     | 0.7174    | 4.465     | 2.202     | 1.0       |
| 3         | 0.9405    | 0.2156    | 0.991     | 4.33      | 1.425     | 1.0       |
| 4         | 0.9353    | 1.842     | 0.7913    | 3.099     | 1.864     | 1.0       |
| 5         | 0.9067    | 6.122     | 0.7418    | 2.169     | 1.733     | 1.0       |
| 6         | 0.916     | 7.854     | 0.7599    | 3.057     | 2.185     | 1.0       |
| 7         | 0.9158    | 6.079     | 0.7512    | 1.26      | 2.898     | 1.0       |
| 8         | 0.9088    | 8.086     | 0.7914    | 1.391     | 2.368     | 1.0       |
| 9         | 0.9292    | 1.229     | 0.8486    | 1.138     | 2.819     | 1.0       |
| 10        | 0.9207    | 6.629     | 0.7935    | 3.08      | 2.093     | 1.0       |
| 11        | 0.9197    | 0.01      | 1.0       | 5.0       | 3.0       | 1.0       |
| 12        | 0.9377    | 1.798     | 1.0       | 5.0       | 1.0       | 1.0       |
| 13        | 0.9229    | 0.01      | 0.7       | 2.705     | 1.0       | 1.0       |
| 14        | 0.938     | 2.722     | 0.7005    | 4.987     | 2.657     | 1.0       |
| 15        | 0.9269    | 5.605     | 0.7       | 5.0       | 3.0       | 1.0       |
| 16        | 0.9427    | 0.4519    | 0.7       | 5.0       | 1.0       | 1.0       |
| 17        | 0.8932    | 10.0      | 1.0       | 5.0       | 1.0       | 1.0       |
| 18        | 0.9341    | 2.428     | 1.0       | 3.465     | 3.0       | 1.0       |
| 19        | 0.92      | 4.513     | 1.0       | 5.0       | 1.0       | 1.0       |
| 20        | 0.9138    | 3.22      | 0.7       | 1.0       | 3.0       | 1.0       |
| 21        | 0.9412    | 0.9521    | 0.7002    | 4.271     | 1.056     | 1.0       |
| 22        | 0.9402    | 1.158     | 0.9929    | 4.979     | 1.602     | 1.0       |
| 23        | 0.9238    | 0.01      | 1.0       | 5.0       | 1.0       | 1.0       |
| 24        | 0.9379    | 0.6461    | 0.7       | 3.651     | 2.271     | 1.0       |
| 25        | 0.9302    | 2.595     | 0.7       | 4.188     | 1.597     | 1.0       |
| 26        | 0.9099    | 0.01      | 1.0       | 2.321     | 3.0       | 1.0       |
| 27        | 0.9342    | 3.88      | 0.7       | 5.0       | 3.0       | 1.0       |
| 28        | 0.9422    | 0.6419    | 0.7       | 4.513     | 1.805     | 1.0       |
| 29        | 0.9343    | 1.766     | 1.0       | 1.0       | 1.0       | 1.0       |
| 30        | 0.9272    | 2.897     | 1.0       | 2.159     | 1.0       | 1.0       |
| 31        | 0.9408    | 1.785     | 1.0       | 5.0       | 3.0       | 1.0       |
| 32        | 0.8885    | 10.0      | 1.0       | 1.0       | 1.0       | 1.0       |
| 33        | 0.9192    | 7.539     | 1.0       | 5.0       | 3.0       | 1.0       |
| 34        | 0.9385    | 0.2177    | 1.0       | 1.0       | 1.0       | 1.0       |
| 35        | 0.9259    | 4.757     | 1.0       | 3.488     | 3.0       | 1.0       |
| 36        | 0.9409    | 1.477     | 0.977     | 4.199     | 2.994     | 1.0       |
| 37        | 0.9079    | 6.698     | 0.7       | 5.0       | 1.0       | 1.0       |
| 38        | 0.9384    | 1.126     | 0.7042    | 1.025     | 1.582     | 1.0       |
| 39        | 0.9386    | 1.278     | 1.0       | 2.002     | 1.0       | 1.0       |
| 40        | 0.9402    | 1.162     | 0.7282    | 4.963     | 1.057     | 1.0       |
| 41        | 0.9406    | 1.014     | 1.0       | 3.84      | 1.724     | 1.0       |
| 42        | 0.9385    | 2.218     | 0.7       | 4.385     | 3.0       | 1.0       |
| 43        | 0.9406    | 2.121     | 1.0       | 5.0       | 2.109     | 1.0       |
| 44        | 0.9351    | 1.65      | 1.0       | 1.908     | 1.897     | 1.0       |
| 45        | 0.9417    | 0.3261    | 0.7082    | 4.045     | 1.384     | 1.0       |
| 46        | 0.9391    | 0.9873    | 0.7062    | 1.181     | 1.006     | 1.0       |
| 47        | 0.9371    | 1.596     | 1.0       | 3.107     | 1.0       | 1.0       |
| 48        | 0.9357    | 3.111     | 1.0       | 4.475     | 3.0       | 1.0       |
| 49        | 0.9403    | 1.854     | 1.0       | 4.172     | 2.466     | 1.0       |
| 50        | 0.9218    | 0.01      | 0.7       | 1.0       | 1.841     | 1.0       |
| 51        | 0.9423    | 0.5325    | 0.7166    | 4.49      | 1.206     | 1.0       |
| 52        | 0.941     | 1.335     | 0.7211    | 4.977     | 2.485     | 1.0       |
| 53        | 0.9408    | 0.9632    | 1.0       | 4.351     | 2.357     | 1.0       |
| 54        | 0.9359    | 1.466     | 0.7       | 3.345     | 3.0       | 1.0       |
| 55        | 0.9418    | 0.6577    | 1.0       | 3.781     | 1.0       | 1.0       |
| 56        | 0.9422    | 0.5464    | 0.9781    | 4.013     | 1.678     | 1.0       |
| 57        | 0.9278    | 3.3       | 1.0       | 5.0       | 1.986     | 1.0       |
| 58        | 0.9422    | 0.6097    | 0.713     | 4.999     | 1.427     | 1.0       |
| 59        | 0.9395    | 0.8865    | 1.0       | 1.0       | 1.0       | 1.0       |
| 60        | 0.9068    | 10.0      | 0.7       | 3.315     | 3.0       | 1.0       |
=====================================================================================
Best parameters for label obscene: {'alpha': 0.45187360114562564, 'max_df': 0.7, 'min_df': 5, 'ngram_range': (1, 1)}
Optimizing for label: threat
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
-------------------------------------------------------------------------------------
| 1         | 0.8269    | 3.752     | 0.9852    | 3.928     | 2.197     | 1.0       |
| 2         | 0.8788    | 1.568     | 0.7174    | 4.465     | 2.202     | 1.0       |
| 3         | 0.927     | 0.2156    | 0.991     | 4.33      | 1.425     | 1.0       |
| 4         | 0.8448    | 1.842     | 0.7913    | 3.099     | 1.864     | 1.0       |
| 5         | 0.7657    | 6.122     | 0.7418    | 2.169     | 1.733     | 1.0       |
| 6         | 0.7806    | 7.854     | 0.7599    | 3.057     | 2.185     | 1.0       |
| 7         | 0.7949    | 6.079     | 0.7512    | 1.26      | 2.898     | 1.0       |
| 8         | 0.7757    | 8.086     | 0.7914    | 1.391     | 2.368     | 1.0       |
| 9         | 0.8879    | 1.229     | 0.8486    | 1.138     | 2.819     | 1.0       |
| 10        | 0.7915    | 6.629     | 0.7935    | 3.08      | 2.093     | 1.0       |
| 11        | 0.9147    | 0.01998   | 0.9413    | 4.557     | 2.939     | 1.0       |
| 12        | 0.9054    | 0.01      | 1.0       | 1.0       | 1.0       | 1.0       |
| 13        | 0.9069    | 0.01      | 0.7       | 5.0       | 1.0       | 1.0       |
| 14        | 0.8984    | 0.01      | 1.0       | 2.308     | 3.0       | 1.0       |
| 15        | 0.9261    | 0.06472   | 0.726     | 3.279     | 1.131     | 1.0       |
| 16        | 0.9216    | 0.03955   | 0.7172    | 4.15      | 2.019     | 1.0       |
| 17        | 0.906     | 0.01      | 1.0       | 3.765     | 1.0       | 1.0       |
| 18        | 0.7438    | 10.0      | 1.0       | 5.0       | 1.0       | 1.0       |
| 19        | 0.9056    | 0.01      | 1.0       | 2.243     | 1.556     | 1.0       |
| 20        | 0.8497    | 1.703     | 0.7       | 1.0       | 1.0       | 1.0       |
| 21        | 0.8893    | 0.01      | 0.7       | 1.0       | 3.0       | 1.0       |
| 22        | 0.8686    | 1.361     | 1.0       | 5.0       | 1.0       | 1.0       |
| 23        | 0.9318    | 0.2765    | 0.988     | 4.968     | 2.052     | 1.0       |
| 24        | 0.8032    | 5.632     | 0.7       | 5.0       | 3.0       | 1.0       |
| 25        | 0.8318    | 3.17      | 1.0       | 1.0       | 3.0       | 1.0       |
| 26        | 0.9056    | 0.01      | 0.7       | 2.283     | 1.0       | 1.0       |
| 27        | 0.9094    | 0.8872    | 1.0       | 5.0       | 3.0       | 1.0       |
| 28        | 0.9292    | 0.3206    | 0.7057    | 3.149     | 2.076     | 1.0       |
| 29        | 0.9061    | 0.5578    | 0.7       | 3.611     | 1.478     | 1.0       |
| 30        | 0.9125    | 0.7482    | 1.0       | 3.515     | 3.0       | 1.0       |
| 31        | 0.9276    | 0.0912    | 0.9695    | 3.307     | 2.005     | 1.0       |
| 32        | 0.7393    | 10.0      | 1.0       | 1.0       | 1.0       | 1.0       |
| 33        | 0.9261    | 0.0691    | 0.7028    | 2.736     | 1.911     | 1.0       |
| 34        | 0.9062    | 0.01      | 0.7       | 3.347     | 3.0       | 1.0       |
| 35        | 0.9069    | 0.01      | 1.0       | 5.0       | 1.674     | 1.0       |
| 36        | 0.9214    | 0.5997    | 1.0       | 4.458     | 2.268     | 1.0       |
| 37        | 0.8899    | 1.152     | 0.7       | 2.482     | 3.0       | 1.0       |
| 38        | 0.9055    | 0.6378    | 0.7       | 5.0       | 1.956     | 1.0       |
| 39        | 0.85      | 2.665     | 1.0       | 5.0       | 3.0       | 1.0       |
| 40        | 0.9054    | 0.01      | 0.7       | 1.0       | 1.863     | 1.0       |
| 41        | 0.786     | 4.922     | 1.0       | 5.0       | 1.0       | 1.0       |
| 42        | 0.9326    | 0.1917    | 0.71      | 4.924     | 2.561     | 1.0       |
| 43        | 0.9087    | 0.01      | 1.0       | 5.0       | 2.609     | 1.0       |
| 44        | 0.9192    | 0.6554    | 0.7       | 4.327     | 3.0       | 1.0       |
| 45        | 0.7931    | 3.988     | 1.0       | 1.0       | 1.0       | 1.0       |
| 46        | 0.9147    | 0.02068   | 0.7024    | 3.275     | 1.672     | 1.0       |
| 47        | 0.8986    | 0.6748    | 1.0       | 2.793     | 1.0       | 1.0       |
| 48        | 0.7814    | 8.282     | 1.0       | 5.0       | 3.0       | 1.0       |
| 49        | 0.9178    | 0.5545    | 1.0       | 2.66      | 2.293     | 1.0       |
| 50        | 0.919     | 0.4436    | 0.7       | 1.816     | 2.235     | 1.0       |
| 51        | 0.8978    | 0.6841    | 0.9322    | 1.015     | 1.751     | 1.0       |
| 52        | 0.9306    | 0.2488    | 1.0       | 3.685     | 2.493     | 1.0       |
| 53        | 0.9302    | 0.1001    | 0.9441    | 4.516     | 2.146     | 1.0       |
| 54        | 0.9197    | 0.06607   | 0.7189    | 2.811     | 2.375     | 1.0       |
| 55        | 0.9162    | 0.401     | 0.7       | 4.377     | 1.0       | 1.0       |
| 56        | 0.9058    | 0.5527    | 0.7       | 2.446     | 1.717     | 1.0       |
| 57        | 0.9298    | 0.3832    | 0.7       | 5.0       | 3.0       | 1.0       |
| 58        | 0.9197    | 0.6049    | 0.994     | 3.587     | 2.215     | 1.0       |
| 59        | 0.8986    | 0.01      | 1.0       | 1.551     | 2.353     | 1.0       |
| 60        | 0.9318    | 0.2742    | 0.7       | 4.496     | 2.571     | 1.0       |
=====================================================================================
Best parameters for label threat: {'alpha': 0.19167368926195816, 'max_df': 0.7100206098404588, 'min_df': 4, 'ngram_range': (1, 2)}
Optimizing for label: insult
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
-------------------------------------------------------------------------------------
| 1         | 0.9217    | 3.752     | 0.9852    | 3.928     | 2.197     | 1.0       |
| 2         | 0.9329    | 1.568     | 0.7174    | 4.465     | 2.202     | 1.0       |
| 3         | 0.9348    | 0.2156    | 0.991     | 4.33      | 1.425     | 1.0       |
